Device,TestName,Date,X-Position1,Y-Position1,Z-Position1,X-Rotation1,Y-Rotation1,Z-Rotation2,X-Position2,Y-Position2,Z-Position2,X-Rotation2,Y-Rotation2,Z-Rotation2,X-Position3,Y-Position3,Z-Position3,X-Rotation3,Y-Rotation3,Z-Rotation3
Trackers,FirstBigTest,2022-05-11T15:06:46,0.5674761,-1.043256,6.648108,-0.6882643,0.1944462,0.1879476,1.075749,-1.320323,7.141938,-0.6972263,0.1597606,0.1673227,0.713837,-1.321366,7.338352,-0.6978064,0.1743888,0.1738187
Trackers,FirstBigTest,2022-05-11T15:06:46,0.5674493,-1.04331,6.648083,-0.6881923,0.1945087,0.18804,1.075892,-1.320485,7.142148,-0.6972234,0.1597296,0.1674133,0.713866,-1.321533,7.338036,-0.6977788,0.1745624,0.1739221
Trackers,FirstBigTest,2022-05-11T15:06:46,0.5674502,-1.043264,6.648094,-0.6882652,0.1944342,0.1880346,1.075741,-1.320195,7.141791,-0.6973351,0.1596832,0.167309,0.7136562,-1.321275,7.338332,-0.6978463,0.1742875,0.1738546
Trackers,FirstBigTest,2022-05-11T15:06:47,0.5675034,-1.043401,6.648065,-0.6882173,0.1944295,0.1881883,1.075918,-1.320398,7.142123,-0.697355,0.1597181,0.1673216,0.7137324,-1.321377,7.338146,-0.6981131,0.1741018,0.1739127
Trackers,FirstBigTest,2022-05-11T15:06:47,0.5673957,-1.043274,6.648026,-0.688239,0.1944615,0.1881738,1.07575,-1.320302,7.141835,-0.6972584,0.159741,0.1674384,0.7137145,-1.321407,7.338271,-0.6983798,0.1738108,0.1738876
Trackers,FirstBigTest,2022-05-11T15:06:47,0.5674138,-1.043211,6.648064,-0.6881422,0.1945271,0.1881953,1.075756,-1.320298,7.141935,-0.6972036,0.1596585,0.1676396,0.7139481,-1.321763,7.337826,-0.6981941,0.1741514,0.17402
Trackers,FirstBigTest,2022-05-11T15:06:47,0.567544,-1.043323,6.648061,-0.6881222,0.1945176,0.1882138,1.075756,-1.320326,7.142013,-0.6970219,0.1597023,0.1677197,0.7138494,-1.321324,7.338333,-0.6983613,0.1740041,0.174123
Trackers,FirstBigTest,2022-05-11T15:06:47,0.5674621,-1.043202,6.648073,-0.688224,0.1944419,0.1881286,1.075851,-1.32043,7.141976,-0.6969881,0.1597643,0.1677846,0.7140238,-1.321889,7.338034,-0.6977963,0.1746373,0.1742323
Trackers,FirstBigTest,2022-05-11T15:06:47,0.5675761,-1.043308,6.648092,-0.688189,0.1943982,0.188162,1.075865,-1.320427,7.14198,-0.6971537,0.1595851,0.1676922,0.7137069,-1.321248,7.338286,-0.6971168,0.1752782,0.1743124
Trackers,FirstBigTest,2022-05-11T15:06:47,0.5674598,-1.043442,6.648048,-0.688216,0.1944299,0.1881914,1.07606,-1.320713,7.142254,-0.6971055,0.1596056,0.1675933,0.7136766,-1.321296,7.338147,-0.6976135,0.1746265,0.1742102
Trackers,FirstBigTest,2022-05-11T15:06:47,0.5673298,-1.04331,6.64804,-0.6882169,0.1944827,0.1881736,1.075701,-1.320337,7.141979,-0.6969923,0.1597278,0.1677632,0.7138578,-1.321321,7.338352,-0.6976547,0.1744441,0.1741686
Trackers,FirstBigTest,2022-05-11T15:06:47,0.5675569,-1.043319,6.648077,-0.6880909,0.1945324,0.188064,1.076055,-1.320597,7.142283,-0.6972874,0.1596597,0.1673239,0.713852,-1.321179,7.338294,-0.697597,0.1743087,0.1741323
Trackers,FirstBigTest,2022-05-11T15:06:48,0.5675044,-1.043356,6.648042,-0.6880613,0.1945299,0.188021,1.075879,-1.320227,7.141705,-0.697317,0.1596668,0.1672559,0.7138848,-1.321474,7.33813,-0.6981278,0.1740398,0.1739375
Trackers,FirstBigTest,2022-05-11T15:06:48,0.5676166,-1.043404,6.648113,-0.6881262,0.1945459,0.1880061,1.075816,-1.32043,7.142206,-0.697533,0.1596443,0.1671496,0.7137707,-1.321269,7.338284,-0.6980666,0.1741072,0.1740283
Trackers,FirstBigTest,2022-05-11T15:06:48,0.5675883,-1.043433,6.64792,-0.6881397,0.1945695,0.1879843,1.075779,-1.320244,7.141988,-0.6974617,0.1596051,0.1672237,0.7139109,-1.321593,7.33808,-0.6976466,0.1747036,0.1740156
Trackers,FirstBigTest,2022-05-11T15:06:48,0.5675763,-1.043238,6.648077,-0.6881454,0.1945076,0.1881163,1.075929,-1.32047,7.142333,-0.6973072,0.1597479,0.1675097,0.7137353,-1.321254,7.338237,-0.6976784,0.1745408,0.1741497
Trackers,FirstBigTest,2022-05-11T15:06:48,0.5675063,-1.043291,6.648084,-0.6880715,0.1944967,0.1882014,1.075868,-1.320246,7.142003,-0.6973225,0.1597512,0.1675913,0.7137737,-1.321406,7.3382,-0.6973363,0.1746524,0.1743562
Trackers,FirstBigTest,2022-05-11T15:06:48,0.567499,-1.043321,6.648142,-0.6881548,0.1945017,0.1880705,1.075861,-1.32023,7.141988,-0.69733,0.1597737,0.1675393,0.7137599,-1.321343,7.338219,-0.6977709,0.174405,0.1742547
Trackers,FirstBigTest,2022-05-11T15:06:48,0.5674606,-1.043237,6.648073,-0.6880982,0.1944714,0.1880673,1.075861,-1.320481,7.142197,-0.6974197,0.1595573,0.1675199,0.7137595,-1.321325,7.338283,-0.6980183,0.1738268,0.1743166
Trackers,FirstBigTest,2022-05-11T15:06:48,0.5674713,-1.043259,6.648038,-0.688113,0.1944259,0.1881229,1.075742,-1.320204,7.141798,-0.6973712,0.1596902,0.1673958,0.7139494,-1.321525,7.338258,-0.6983206,0.1736825,0.1741276
Trackers,FirstBigTest,2022-05-11T15:06:48,0.5674923,-1.043279,6.648041,-0.6880194,0.1945449,0.1880682,1.075812,-1.320476,7.142019,-0.6971074,0.1597814,0.1677231,0.7139543,-1.321627,7.337897,-0.6982002,0.1738387,0.17423
Trackers,FirstBigTest,2022-05-11T15:06:49,0.5673018,-1.043224,6.648073,-0.6880004,0.1944906,0.1880348,1.075719,-1.320506,7.142311,-0.6972548,0.1596682,0.1675299,0.7138711,-1.32139,7.338204,-0.698367,0.173736,0.174223
Trackers,FirstBigTest,2022-05-11T15:06:49,0.5674943,-1.043315,6.648129,-0.6880383,0.1944444,0.1879874,1.075723,-1.320378,7.142008,-0.6971655,0.1596269,0.1679333,0.713887,-1.321439,7.338293,-0.698612,0.1736086,0.174126
Trackers,FirstBigTest,2022-05-11T15:06:49,0.5674887,-1.043296,6.648081,-0.6881965,0.1944638,0.1879103,1.075874,-1.320592,7.14222,-0.697537,0.1593771,0.1672741,0.7139301,-1.321616,7.337944,-0.6980597,0.1743951,0.1742804
Trackers,FirstBigTest,2022-05-11T15:06:49,0.5675419,-1.043372,6.648062,-0.6881308,0.1944959,0.1880321,1.075735,-1.320235,7.142005,-0.6973104,0.1595491,0.1675251,0.7138368,-1.321232,7.338183,-0.6978915,0.1743826,0.1743767
Trackers,FirstBigTest,2022-05-11T15:06:49,0.5675256,-1.043304,6.648106,-0.6881275,0.1944589,0.1880054,1.075867,-1.320534,7.142106,-0.6977741,0.1595343,0.1670087,0.713918,-1.321618,7.338082,-0.6978142,0.1745279,0.1742392
Trackers,FirstBigTest,2022-05-11T15:06:49,0.5674798,-1.043338,6.647997,-0.6881266,0.1945094,0.1880395,1.075718,-1.320388,7.141838,-0.6976684,0.1595248,0.1672086,0.7137951,-1.321357,7.338326,-0.6977953,0.1743772,0.1743571
Trackers,FirstBigTest,2022-05-11T15:06:49,0.5674251,-1.043256,6.648106,-0.6881235,0.1943941,0.1880063,1.075837,-1.320403,7.142307,-0.6977014,0.1596151,0.1671876,0.7137873,-1.321268,7.338158,-0.6978278,0.1742374,0.1743525
Trackers,FirstBigTest,2022-05-11T15:06:49,0.5675786,-1.043435,6.648034,-0.6881368,0.1942935,0.1880882,1.075847,-1.320324,7.141922,-0.6975545,0.159624,0.1671552,0.7138612,-1.321343,7.338186,-0.6978302,0.1742896,0.1744702
Trackers,FirstBigTest,2022-05-11T15:06:49,0.5674034,-1.043134,6.648109,-0.6881801,0.1943208,0.188076,1.075674,-1.320306,7.142127,-0.6976216,0.1596605,0.1672224,0.7138101,-1.321486,7.338112,-0.6980762,0.1741043,0.174293
Trackers,FirstBigTest,2022-05-11T15:06:50,0.5674515,-1.043369,6.648094,-0.6881973,0.1942796,0.1882189,1.075755,-1.320331,7.142003,-0.6976196,0.1597466,0.1669667,0.7141063,-1.321889,7.337699,-0.6976766,0.1743706,0.1745335
